# START: TDC 0
# STOP: TDC 1
# 1st stop option: Off
# From: -30000000000 ps
# To: 30000000000 ps
# START counts: 7932
# STOP counts: 8941
# Time intervals: 17854
# Elapsed time: 30.1 s
# Offset: 0 ps
# 
# Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	2	1.867e-13
-27000000000	1	9.33498e-14
-26400000000	0	0
-25800000000	1	9.33498e-14
-25200000000	0	0
-24600000000	2	1.867e-13
-24000000000	2	1.867e-13
-23400000000	2	1.867e-13
-22800000000	3	2.80049e-13
-22200000000	4	3.73399e-13
-21600000000	2	1.867e-13
-21000000000	4	3.73399e-13
-20400000000	9	8.40148e-13
-19800000000	3	2.80049e-13
-19200000000	7	6.53448e-13
-18600000000	8	7.46798e-13
-18000000000	9	8.40148e-13
-17400000000	11	1.02685e-12
-16800000000	13	1.21355e-12
-16200000000	17	1.58695e-12
-15600000000	21	1.96035e-12
-15000000000	20	1.867e-12
-14400000000	26	2.42709e-12
-13800000000	27	2.52044e-12
-13200000000	40	3.73399e-12
-12600000000	49	4.57414e-12
-12000000000	59	5.50764e-12
-11400000000	76	7.09458e-12
-10800000000	72	6.72118e-12
-10200000000	91	8.49483e-12
-9600000000	112	1.04552e-11
-9000000000	131	1.22288e-11
-8400000000	169	1.57761e-11
-7800000000	207	1.93234e-11
-7200000000	233	2.17505e-11
-6600000000	271	2.52978e-11
-6000000000	334	3.11788e-11
-5400000000	381	3.55663e-11
-4800000000	418	3.90202e-11
-4200000000	502	4.68616e-11
-3600000000	585	5.46096e-11
-3000000000	704	6.57182e-11
-2400000000	797	7.43998e-11
-1800000000	960	8.96158e-11
-1200000000	1136	1.06045e-10
-600000000	1403	1.3097e-10
0	1486	1.38718e-10
600000000	1111	1.03712e-10
1200000000	958	8.94291e-11
1800000000	787	7.34663e-11
2400000000	677	6.31978e-11
3000000000	583	5.44229e-11
3600000000	482	4.49946e-11
4200000000	422	3.93936e-11
4800000000	387	3.61264e-11
5400000000	350	3.26724e-11
6000000000	260	2.42709e-11
6600000000	227	2.11904e-11
7200000000	180	1.6803e-11
7800000000	143	1.3349e-11
8400000000	129	1.20421e-11
9000000000	129	1.20421e-11
9600000000	98	9.14828e-12
10200000000	72	6.72118e-12
10800000000	77	7.18793e-12
11400000000	54	5.04089e-12
12000000000	45	4.20074e-12
12600000000	48	4.48079e-12
13200000000	42	3.92069e-12
13800000000	28	2.61379e-12
14400000000	27	2.52044e-12
15000000000	17	1.58695e-12
15600000000	13	1.21355e-12
16200000000	18	1.6803e-12
16800000000	15	1.40025e-12
17400000000	10	9.33498e-13
18000000000	9	8.40148e-13
18600000000	11	1.02685e-12
19200000000	8	7.46798e-13
19800000000	7	6.53448e-13
20400000000	6	5.60099e-13
21000000000	0	0
21600000000	1	9.33498e-14
22200000000	1	9.33498e-14
22800000000	2	1.867e-13
23400000000	1	9.33498e-14
24000000000	1	9.33498e-14
24600000000	2	1.867e-13
25200000000	2	1.867e-13
25800000000	1	9.33498e-14
26400000000	0	0
27000000000	1	9.33498e-14
27600000000	1	9.33498e-14
28200000000	1	9.33498e-14
28800000000	0	0
29400000000	0	0
