# Total counts: 15151
# Active taps: 162
# Average width: 17.64 ps
# Temperature: 62.8 °C
# 
# Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
97	18	0.00118804	3.39	1749.06	-0.8075	2.268
98	138	0.00910831	26.02	1763.77	0.4755	2.743
99	54	0.00356412	10.18	1781.87	-0.4226	2.321
100	164	0.0108244	30.93	1802.43	0.7535	3.074
101	6	0.000396013	1.13	1818.46	-0.9358	2.139
102	161	0.0106264	30.36	1834.20	0.7215	2.860
103	38	0.00250809	7.17	1852.97	-0.5937	2.266
104	195	0.0128704	36.77	1874.94	1.0850	3.351
105	9	0.00059402	1.70	1894.17	-0.9038	2.448
106	166	0.0109564	31.30	1910.67	0.7749	3.222
107	43	0.0028381	8.11	1930.38	-0.5402	2.682
108	96	0.00633622	18.10	1943.48	0.0265	2.709
109	31	0.00204607	5.85	1955.46	-0.6685	2.040
110	176	0.0116164	33.19	1974.98	0.8819	2.922
111	15	0.000990034	2.83	1992.98	-0.8396	2.082
112	176	0.0116164	33.19	2010.99	0.8819	2.964
113	8	0.000528018	1.51	2028.34	-0.9145	2.050
114	170	0.0112204	32.06	2045.13	0.8177	2.868
115	36	0.00237608	6.79	2064.55	-0.6151	2.252
116	73	0.00481816	13.77	2074.83	-0.2195	2.033
117	22	0.00145205	4.15	2083.79	-0.7648	1.268
118	162	0.0106924	30.55	2101.13	0.7322	2.000
119	27	0.00178206	5.09	2118.95	-0.7113	1.289
120	291	0.0192067	54.88	2148.94	2.1115	3.401
121	30	0.00198007	5.66	2179.21	-0.6792	2.721
122	150	0.00990034	28.29	2196.18	0.6039	3.325
123	13	0.000858029	2.45	2211.55	-0.8610	2.464
124	183	0.0120784	34.51	2230.03	0.9567	3.421
125	9	0.00059402	1.70	2248.13	-0.9038	2.517
126	183	0.0120784	34.51	2266.23	0.9567	3.474
127	26	0.00171606	4.90	2285.94	-0.7220	2.752
128	136	0.00897631	25.65	2301.22	0.4542	3.206
129	8	0.000528018	1.51	2314.79	-0.9145	2.292
130	197	0.0130024	37.15	2334.12	1.1064	3.398
131	14	0.000924031	2.64	2354.02	-0.8503	2.548
132	122	0.00805227	23.01	2366.84	0.3045	2.852
133	25	0.00165006	4.71	2380.70	-0.7327	2.119
134	176	0.0116164	33.19	2399.65	0.8819	3.001
