# START: TDC 0
# STOP: TDC 1
# 1st stop option: Off
# From: -30000000000 ps
# To: 30000000000 ps
# START counts: 9725
# STOP counts: 9092
# Time intervals: 18152
# Elapsed time: 30.0 s
# Offset: 0 ps
# 
# Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	0	0
-27000000000	0	0
-26400000000	0	0
-25800000000	0	0
-25200000000	0	0
-24600000000	1	9.18172e-14
-24000000000	1	9.18172e-14
-23400000000	0	0
-22800000000	0	0
-22200000000	3	2.75452e-13
-21600000000	2	1.83634e-13
-21000000000	3	2.75452e-13
-20400000000	5	4.59086e-13
-19800000000	3	2.75452e-13
-19200000000	2	1.83634e-13
-18600000000	2	1.83634e-13
-18000000000	3	2.75452e-13
-17400000000	3	2.75452e-13
-16800000000	4	3.67269e-13
-16200000000	10	9.18172e-13
-15600000000	11	1.00999e-12
-15000000000	14	1.28544e-12
-14400000000	7	6.42721e-13
-13800000000	14	1.28544e-12
-13200000000	33	3.02997e-12
-12600000000	24	2.20361e-12
-12000000000	44	4.03996e-12
-11400000000	49	4.49905e-12
-10800000000	59	5.41722e-12
-10200000000	66	6.05994e-12
-9600000000	93	8.539e-12
-9000000000	83	7.62083e-12
-8400000000	126	1.1569e-11
-7800000000	159	1.45989e-11
-7200000000	190	1.74453e-11
-6600000000	205	1.88225e-11
-6000000000	283	2.59843e-11
-5400000000	300	2.75452e-11
-4800000000	411	3.77369e-11
-4200000000	510	4.68268e-11
-3600000000	606	5.56413e-11
-3000000000	735	6.74857e-11
-2400000000	830	7.62083e-11
-1800000000	1054	9.67754e-11
-1200000000	1317	1.20923e-10
-600000000	1815	1.66648e-10
0	2183	2.00437e-10
600000000	1197	1.09905e-10
1200000000	1025	9.41127e-11
1800000000	808	7.41883e-11
2400000000	688	6.31703e-11
3000000000	592	5.43558e-11
3600000000	486	4.46232e-11
4200000000	353	3.24115e-11
4800000000	320	2.93815e-11
5400000000	266	2.44234e-11
6000000000	214	1.96489e-11
6600000000	181	1.66189e-11
7200000000	129	1.18444e-11
7800000000	121	1.11099e-11
8400000000	93	8.539e-12
9000000000	76	6.97811e-12
9600000000	60	5.50903e-12
10200000000	53	4.86631e-12
10800000000	48	4.40723e-12
11400000000	37	3.39724e-12
12000000000	27	2.47907e-12
12600000000	18	1.65271e-12
13200000000	24	2.20361e-12
13800000000	20	1.83634e-12
14400000000	9	8.26355e-13
15000000000	15	1.37726e-12
15600000000	5	4.59086e-13
16200000000	6	5.50903e-13
16800000000	5	4.59086e-13
17400000000	1	9.18172e-14
18000000000	3	2.75452e-13
18600000000	3	2.75452e-13
19200000000	0	0
19800000000	2	1.83634e-13
20400000000	2	1.83634e-13
21000000000	0	0
21600000000	0	0
22200000000	1	9.18172e-14
22800000000	0	0
23400000000	0	0
24000000000	0	0
24600000000	0	0
25200000000	0	0
25800000000	0	0
26400000000	1	9.18172e-14
27000000000	0	0
27600000000	0	0
28200000000	0	0
28800000000	0	0
29400000000	0	0
