# I[mA], CH2[mV]
    201,    39.4
    250,    55.6
    263,     128
    268,     184
    273,     272
    274,     330
    276,     392
    277,     472
    278,     537
    279,     602
    280,     677
    281,     744
    282,     800
    284,     841
    285,     796
    286,     735
    287,     648
    287,     576
    287,     542
    288,     464
    288,     400
    288,     328
    288,     280
    289,     168
    289,     120
    289,      76
    290,       0
    290,     -80
    290,    -129
    291,    -192
    291,    -270
    291,    -336
    292,    -426
    292,    -472
    293,    -526
    293,    -608
    294,    -670
    296,    -736
    298,    -661
    299,    -600
    300,    -528
    301,    -464
    302,    -380
    303,    -328
    304,    -271
    305,    -192
    308,    -121
    310,     -72
    317,       5
    326,      40
    405,      64
