Time(s),CH4V
-3.100000e-04,5.200000e-01
-3.000000e-04,4.456000e-01
-2.900000e-04,3.853333e-01
-2.800000e-04,3.434667e-01
-2.700000e-04,4.130667e-01
-2.600000e-04,3.760000e-01
-2.500000e-04,4.504000e-01
-2.400000e-04,4.549333e-01
-2.300000e-04,4.504000e-01
-2.200000e-04,4.272000e-01
-2.100000e-04,4.130667e-01
-2.000000e-04,3.573333e-01
-1.900000e-04,4.037333e-01
-1.800000e-04,3.666667e-01
-1.700000e-04,3.296000e-01
-1.600000e-04,2.877333e-01
-1.500000e-04,3.064000e-01
-1.400000e-04,3.666667e-01
-1.300000e-04,3.666667e-01
-1.200000e-04,4.736000e-01
-1.100000e-04,4.597333e-01
-1.000000e-04,5.386667e-01
-9.000000e-05,4.504000e-01
-8.000000e-05,3.528000e-01
-7.000000e-05,2.365333e-01
-6.000000e-05,2.088000e-01
-5.000000e-05,2.040000e-01
-4.000000e-05,3.389333e-01
-3.000000e-05,4.037333e-01
-2.000000e-05,5.989333e-01
-1.000000e-05,6.082667e-01
1.897354e-19,4.642667e-01
1.000000e-05,5.816267e+00
2.000000e-05,9.932533e+00
3.000000e-05,9.904533e+00
4.000000e-05,9.881333e+00
5.000000e-05,9.862667e+00
6.000000e-05,9.858133e+00
7.000000e-05,9.872000e+00
8.000000e-05,9.867467e+00
9.000000e-05,9.876801e+00
1.000000e-04,9.830133e+00
1.100000e-04,9.862667e+00
1.200000e-04,9.825600e+00
1.300000e-04,9.844267e+00
1.400000e-04,9.858133e+00
1.500000e-04,9.862667e+00
1.600000e-04,9.881333e+00
1.700000e-04,9.844267e+00
1.800000e-04,9.881333e+00
1.900000e-04,9.821067e+00
2.000000e-04,9.858133e+00
2.100000e-04,9.848800e+00
2.200000e-04,9.816267e+00
2.300000e-04,9.830133e+00
2.400000e-04,9.834933e+00
2.500000e-04,9.867467e+00
2.600000e-04,9.844267e+00
2.700000e-04,9.830133e+00
2.800000e-04,9.825600e+00
2.900000e-04,9.830133e+00
3.000000e-04,9.834933e+00
3.100000e-04,9.853601e+00
3.200000e-04,9.830133e+00
3.300000e-04,9.848800e+00
3.400000e-04,9.834933e+00
3.500000e-04,9.844267e+00
3.600000e-04,9.834933e+00
3.700000e-04,9.834933e+00
3.800000e-04,9.825600e+00
3.900000e-04,9.821067e+00
4.000000e-04,9.825600e+00
4.100000e-04,9.900001e+00
4.200000e-04,1.002533e+01
4.300000e-04,1.003013e+01
4.400000e-04,9.923200e+00
4.500000e-04,9.537601e+00
4.600000e-04,9.421333e+00
4.700000e-04,9.008000e+00
4.800000e-04,8.766400e+00
4.900000e-04,8.492267e+00
5.000000e-04,8.101867e+00
5.100000e-04,8.013600e+00
5.200000e-04,7.479467e+00
5.300000e-04,6.996267e+00
5.400000e-04,6.573600e+00
5.500000e-04,6.652534e+00
5.600000e-04,6.726933e+00
5.700000e-04,6.503734e+00
5.800000e-04,6.211200e+00
5.900000e-04,6.044000e+00
6.000000e-04,6.076533e+00
6.100000e-04,5.941600e+00
6.200000e-04,5.458400e+00
6.300000e-04,5.152000e+00
6.400000e-04,4.859200e+00
6.500000e-04,4.803467e+00
6.600000e-04,4.798934e+00
6.700000e-04,4.506134e+00
6.800000e-04,4.232000e+00
6.900000e-04,4.050933e+00
7.000000e-04,4.143734e+00
7.100000e-04,4.050933e+00
7.200000e-04,3.706933e+00
7.300000e-04,3.168000e+00
7.400000e-04,3.158933e+00
7.500000e-04,3.261067e+00
7.600000e-04,3.154133e+00
7.700000e-04,3.228533e+00
7.800000e-04,3.214667e+00
7.900000e-04,3.038133e+00
8.000000e-04,2.838400e+00
