Time(s),CH4V
-6.700000e-04,-1.146667e-02
-6.650000e-04,-6.933333e-03
-6.600000e-04,-1.146667e-02
-6.550000e-04,-1.146667e-02
-6.500000e-04,-6.933333e-03
-6.450000e-04,-2.533333e-02
-6.400000e-04,-2.133333e-03
-6.350000e-04,-2.133333e-03
-6.300000e-04,-2.533333e-02
-6.250000e-04,-1.600000e-02
-6.200000e-04,-6.933333e-03
-6.150000e-04,-2.080000e-02
-6.100000e-04,-2.533333e-02
-6.050000e-04,-6.933333e-03
-6.000000e-04,-2.133333e-03
-5.950000e-04,-2.080000e-02
-5.900000e-04,-6.933333e-03
-5.850000e-04,-1.146667e-02
-5.800000e-04,-1.600000e-02
-5.750000e-04,7.200000e-03
-5.700000e-04,-1.600000e-02
-5.650000e-04,-1.146667e-02
-5.600000e-04,-6.933333e-03
-5.550000e-04,-6.933333e-03
-5.500000e-04,-2.533333e-02
-5.450000e-04,-1.600000e-02
-5.400000e-04,-6.933333e-03
-5.350000e-04,-1.600000e-02
-5.300000e-04,-2.133333e-03
-5.250000e-04,-1.600000e-02
-5.200000e-04,-2.533333e-02
-5.150000e-04,-6.933333e-03
-5.100000e-04,-2.133333e-03
-5.050000e-04,-2.133333e-03
-5.000000e-04,-2.133333e-03
-4.950000e-04,-6.933333e-03
-4.900000e-04,1.653333e-02
-4.850000e-04,-1.146667e-02
-4.800000e-04,-1.146667e-02
-4.750000e-04,7.200000e-03
-4.700000e-04,-2.533333e-02
-4.650000e-04,-2.133333e-03
-4.600000e-04,-2.533333e-02
-4.550000e-04,-2.133333e-03
-4.500000e-04,-2.080000e-02
-4.450000e-04,-2.080000e-02
-4.400000e-04,-1.600000e-02
-4.350000e-04,-1.146667e-02
-4.300000e-04,2.560000e-02
-4.250000e-04,7.200000e-03
-4.200000e-04,-2.080000e-02
-4.150000e-04,-2.533333e-02
-4.100000e-04,2.400000e-03
-4.050000e-04,7.200000e-03
-4.000000e-04,-1.600000e-02
-3.950000e-04,-2.533333e-02
-3.900000e-04,-2.133333e-03
-3.850000e-04,-2.533333e-02
-3.800000e-04,-6.933333e-03
-3.750000e-04,-2.133333e-03
-3.700000e-04,2.400000e-03
-3.650000e-04,-6.933333e-03
-3.600000e-04,7.200000e-03
-3.550000e-04,-3.466667e-02
-3.500000e-04,-1.146667e-02
-3.450000e-04,2.400000e-03
-3.400000e-04,-6.933333e-03
-3.350000e-04,-1.600000e-02
-3.300000e-04,-3.466667e-02
-3.250000e-04,1.653333e-02
-3.200000e-04,7.200000e-03
-3.150000e-04,-3.466667e-02
-3.100000e-04,-1.600000e-02
-3.050000e-04,-6.933333e-03
-3.000000e-04,-3.466667e-02
-2.950000e-04,-1.146667e-02
-2.900000e-04,-1.600000e-02
-2.850000e-04,-3.946667e-02
-2.800000e-04,-3.013333e-02
-2.750000e-04,-2.533333e-02
-2.700000e-04,-2.133333e-03
-2.650000e-04,-2.080000e-02
-2.600000e-04,-6.933333e-03
-2.550000e-04,-2.133333e-03
-2.500000e-04,-1.600000e-02
-2.450000e-04,-1.600000e-02
-2.400000e-04,-2.133333e-03
-2.350000e-04,-2.533333e-02
-2.300000e-04,-1.600000e-02
-2.250000e-04,-1.146667e-02
-2.200000e-04,-1.600000e-02
-2.150000e-04,-1.600000e-02
-2.100000e-04,-2.133333e-03
-2.050000e-04,-1.600000e-02
-2.000000e-04,-1.600000e-02
-1.950000e-04,-2.133333e-03
-1.900000e-04,-2.533333e-02
-1.850000e-04,-1.146667e-02
-1.800000e-04,-2.133333e-03
-1.750000e-04,-2.080000e-02
-1.700000e-04,2.400000e-03
-1.650000e-04,2.106667e-02
-1.600000e-04,-2.133333e-03
-1.550000e-04,-3.013333e-02
-1.500000e-04,-2.080000e-02
-1.450000e-04,-6.933333e-03
-1.400000e-04,-1.600000e-02
-1.350000e-04,-6.933333e-03
-1.300000e-04,-2.080000e-02
-1.250000e-04,-1.600000e-02
-1.200000e-04,-6.933333e-03
-1.150000e-04,7.200000e-03
-1.100000e-04,2.400000e-03
-1.050000e-04,-1.146667e-02
-1.000000e-04,2.400000e-03
-9.500000e-05,-1.146667e-02
-9.000000e-05,-1.146667e-02
-8.500000e-05,-2.533333e-02
-8.000000e-05,-2.080000e-02
-7.500000e-05,1.653333e-02
-7.000000e-05,-2.133333e-03
-6.500000e-05,-6.933333e-03
-6.000000e-05,-1.600000e-02
-5.500000e-05,7.200000e-03
-5.000000e-05,-6.933333e-03
-4.500000e-05,-2.533333e-02
-4.000000e-05,7.200000e-03
-3.500000e-05,-1.600000e-02
-3.000000e-05,-2.133333e-03
-2.500000e-05,7.200000e-03
-2.000000e-05,-1.600000e-02
-1.500000e-05,7.200000e-03
-1.000000e-05,-2.533333e-02
-5.000000e-06,-3.466667e-02
1.504331e-18,-1.146667e-02
5.000000e-06,-6.933333e-03
1.000000e-05,-2.133333e-03
1.500000e-05,-2.533333e-02
2.000000e-05,-2.133333e-03
2.500000e-05,-1.146667e-02
3.000000e-05,-2.133333e-03
3.500000e-05,7.798133e+00
4.000000e-05,9.386933e+00
4.500000e-05,9.558933e+00
5.000000e-05,9.586933e+00
5.500000e-05,9.610133e+00
6.000000e-05,9.652000e+00
6.500000e-05,9.628533e+00
7.000000e-05,9.772533e+00
7.500000e-05,9.048000e+00
8.000000e-05,8.100266e+00
8.500000e-05,7.393867e+00
9.000000e-05,6.827200e+00
9.500000e-05,6.348800e+00
1.000000e-04,5.916533e+00
1.050000e-04,5.521600e+00
1.100000e-04,5.205867e+00
1.150000e-04,4.899200e+00
1.200000e-04,4.611200e+00
1.250000e-04,4.388267e+00
1.300000e-04,4.160533e+00
1.350000e-04,3.937600e+00
1.400000e-04,3.756267e+00
