Time(s),CH4V
-1.060000e-03,3.853333e-01
-1.040000e-03,3.805333e-01
-1.020000e-03,4.642667e-01
-1.000000e-03,3.666667e-01
-9.800000e-04,5.432000e-01
-9.600000e-04,4.829333e-01
-9.400000e-04,2.690667e-01
-9.200000e-04,2.365333e-01
-9.000000e-04,2.784000e-01
-8.800000e-04,3.573333e-01
-8.600000e-04,5.386667e-01
-8.400000e-04,4.874667e-01
-8.200000e-04,3.853333e-01
-8.000000e-04,2.877333e-01
-7.800000e-04,4.317333e-01
-7.600000e-04,5.013334e-01
-7.400000e-04,4.781334e-01
-7.200000e-04,2.970667e-01
-7.000000e-04,2.784000e-01
-6.800000e-04,4.504000e-01
-6.600000e-04,4.130667e-01
-6.400000e-04,3.434667e-01
-6.200000e-04,4.504000e-01
-6.000000e-04,5.525333e-01
-5.800000e-04,3.992000e-01
-5.600000e-04,2.877333e-01
-5.400000e-04,4.456000e-01
-5.200000e-04,4.130667e-01
-5.000000e-04,4.781334e-01
-4.800000e-04,3.434667e-01
-4.600000e-04,3.712000e-01
-4.400000e-04,2.877333e-01
-4.200000e-04,4.781334e-01
-4.000000e-04,4.504000e-01
-3.800000e-04,2.506667e-01
-3.600000e-04,4.874667e-01
-3.400000e-04,3.341333e-01
-3.200000e-04,3.760000e-01
-3.000000e-04,4.597333e-01
-2.800000e-04,4.272000e-01
-2.600000e-04,3.805333e-01
-2.400000e-04,3.992000e-01
-2.200000e-04,6.269333e-01
-2.000000e-04,5.664000e-01
-1.800000e-04,4.597333e-01
-1.600000e-04,2.922667e-01
-1.400000e-04,3.154667e-01
-1.200000e-04,4.224000e-01
-1.000000e-04,2.970667e-01
-8.000000e-05,4.362667e-01
-6.000000e-05,3.992000e-01
-4.000000e-05,2.690667e-01
-2.000000e-05,3.712000e-01
1.463673e-18,3.712000e-01
2.000000e-05,9.946400e+00
4.000000e-05,9.876801e+00
6.000000e-05,9.876801e+00
8.000000e-05,9.848800e+00
1.000000e-04,9.848800e+00
1.200000e-04,9.867467e+00
1.400000e-04,9.853601e+00
1.600000e-04,9.839467e+00
1.800000e-04,9.844267e+00
2.000000e-04,9.862667e+00
2.200000e-04,9.830133e+00
2.400000e-04,9.830133e+00
2.600000e-04,9.853601e+00
2.800000e-04,9.853601e+00
