U,I
0.0,0.03
8.4,0.35
23.8,0.87
30.0,1.09
40.4,1.50
53.9,1.99
64.9,2.26
75.0,2.62
87.2,2.83
104.0,2.96
124.7,3.07
148.8,3.13
172.0,3.17
198.4,3.18
237.5,3.20
295.8,3.21
376.1,3.22
