U,I
0.0,0.03
7.9,0.38
19.0,0.86
28.9,1.31
34.1,1.55
41.2,1.88
47.1,2.18
52.8,2.45
57.1,2.68
62.9,2.98
68.3,3.17
73.8,3.48
79.8,3.76
87.8,4.09
94.9,4.33
105.5,4.67
114.0,4.87
125.8,5.08
136.3,5.18
146.9,5.24
156.1,5.28
169.2,5.33
183.1,5.36
210.8,5.42
265.3,5.48
375.7,5.52
