U,I
0.0,0.0
9.0,0.25
21.4,0.53
32.8,0.86
43.3,1.09
57.3,1.29
73.8,1.39
90.2,1.40
125.5,1.42
160.5,1.44
193.8,1.44
253.0,1.45
302.1,1.46
375.7,1.46
