U,I
0.0,0.04
13.2,0.22
23.1,0.35
33.7,0.43
43.3,0.46
59.0,0.46
92.2,0.46
110.9,0.45
131.1,0.45
151.8,0.46
170.5,0.46
216.5,0.46
289.4,0.46
374.0,0.46
