START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30000000000 ps
To: 30000000000 ps
START counts: 10352
STOP counts: 9368
Time intervals: 18723
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	0	0
-27000000000	0	0
-26400000000	0	0
-25800000000	0	0
-25200000000	0	0
-24600000000	0	0
-24000000000	0	0
-23400000000	1	8.90171e-14
-22800000000	0	0
-22200000000	0	0
-21600000000	1	8.90171e-14
-21000000000	0	0
-20400000000	3	2.67051e-13
-19800000000	2	1.78034e-13
-19200000000	4	3.56068e-13
-18600000000	5	4.45085e-13
-18000000000	11	9.79188e-13
-17400000000	12	1.0682e-12
-16800000000	9	8.01154e-13
-16200000000	5	4.45085e-13
-15600000000	10	8.90171e-13
-15000000000	12	1.0682e-12
-14400000000	16	1.42427e-12
-13800000000	24	2.13641e-12
-13200000000	35	3.1156e-12
-12600000000	23	2.04739e-12
-12000000000	34	3.02658e-12
-11400000000	41	3.6497e-12
-10800000000	47	4.1838e-12
-10200000000	63	5.60808e-12
-9600000000	74	6.58726e-12
-9000000000	105	9.34679e-12
-8400000000	152	1.35306e-11
-7800000000	156	1.38867e-11
-7200000000	190	1.69132e-11
-6600000000	254	2.26103e-11
-6000000000	273	2.43017e-11
-5400000000	331	2.94647e-11
-4800000000	387	3.44496e-11
-4200000000	473	4.21051e-11
-3600000000	633	5.63478e-11
-3000000000	772	6.87212e-11
-2400000000	913	8.12726e-11
-1800000000	1137	1.01212e-10
-1200000000	1333	1.1866e-10
-600000000	1821	1.621e-10
0	1850	1.64682e-10
600000000	1396	1.24268e-10
1200000000	1154	1.02726e-10
1800000000	959	8.53674e-11
2400000000	732	6.51605e-11
3000000000	617	5.49235e-11
3600000000	523	4.65559e-11
4200000000	417	3.71201e-11
4800000000	311	2.76843e-11
5400000000	251	2.23433e-11
6000000000	228	2.02959e-11
6600000000	168	1.49549e-11
7200000000	138	1.22844e-11
7800000000	121	1.07711e-11
8400000000	97	8.63466e-12
9000000000	72	6.40923e-12
9600000000	57	5.07397e-12
10200000000	44	3.91675e-12
10800000000	48	4.27282e-12
11400000000	39	3.47167e-12
12000000000	36	3.20461e-12
12600000000	12	1.0682e-12
13200000000	20	1.78034e-12
13800000000	15	1.33526e-12
14400000000	8	7.12137e-13
15000000000	10	8.90171e-13
15600000000	10	8.90171e-13
16200000000	6	5.34102e-13
16800000000	4	3.56068e-13
17400000000	7	6.2312e-13
18000000000	5	4.45085e-13
18600000000	3	2.67051e-13
19200000000	0	0
19800000000	2	1.78034e-13
20400000000	0	0
21000000000	0	0
21600000000	0	0
22200000000	0	0
22800000000	1	8.90171e-14
23400000000	0	0
24000000000	0	0
24600000000	0	0
25200000000	0	0
25800000000	0	0
26400000000	0	0
27000000000	0	0
27600000000	0	0
28200000000	0	0
28800000000	0	0
29400000000	0	0
