START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30000000000 ps
To: 30000000000 ps
START counts: 8090
STOP counts: 8806
Time intervals: 17590
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	0	0
-27000000000	2	1.89502e-13
-26400000000	1	9.47508e-14
-25800000000	0	0
-25200000000	1	9.47508e-14
-24600000000	0	0
-24000000000	3	2.84252e-13
-23400000000	1	9.47508e-14
-22800000000	3	2.84252e-13
-22200000000	4	3.79003e-13
-21600000000	1	9.47508e-14
-21000000000	4	3.79003e-13
-20400000000	6	5.68505e-13
-19800000000	6	5.68505e-13
-19200000000	9	8.52757e-13
-18600000000	8	7.58006e-13
-18000000000	16	1.51601e-12
-17400000000	10	9.47508e-13
-16800000000	16	1.51601e-12
-16200000000	19	1.80027e-12
-15600000000	23	2.17927e-12
-15000000000	31	2.93727e-12
-14400000000	21	1.98977e-12
-13800000000	35	3.31628e-12
-13200000000	39	3.69528e-12
-12600000000	45	4.26379e-12
-12000000000	65	6.1588e-12
-11400000000	65	6.1588e-12
-10800000000	87	8.24332e-12
-10200000000	82	7.76957e-12
-9600000000	113	1.07068e-11
-9000000000	124	1.17491e-11
-8400000000	147	1.39284e-11
-7800000000	210	1.98977e-11
-7200000000	196	1.85712e-11
-6600000000	228	2.16032e-11
-6000000000	298	2.82357e-11
-5400000000	368	3.48683e-11
-4800000000	390	3.69528e-11
-4200000000	458	4.33959e-11
-3600000000	566	5.3629e-11
-3000000000	684	6.48096e-11
-2400000000	827	7.83589e-11
-1800000000	970	9.19083e-11
-1200000000	1168	1.10669e-10
-600000000	1445	1.36915e-10
0	1606	1.5217e-10
600000000	1103	1.0451e-10
1200000000	939	8.8971e-11
1800000000	853	8.08224e-11
2400000000	670	6.3483e-11
3000000000	577	5.46712e-11
3600000000	494	4.68069e-11
4200000000	384	3.63843e-11
4800000000	346	3.27838e-11
5400000000	270	2.55827e-11
6000000000	231	2.18874e-11
6600000000	205	1.94239e-11
7200000000	165	1.56339e-11
7800000000	163	1.54444e-11
8400000000	137	1.29809e-11
9000000000	100	9.47508e-12
9600000000	80	7.58006e-12
10200000000	67	6.3483e-12
10800000000	67	6.3483e-12
11400000000	60	5.68505e-12
12000000000	52	4.92704e-12
12600000000	42	3.97953e-12
13200000000	28	2.65302e-12
13800000000	23	2.17927e-12
14400000000	18	1.70551e-12
15000000000	19	1.80027e-12
15600000000	18	1.70551e-12
16200000000	15	1.42126e-12
16800000000	10	9.47508e-13
17400000000	12	1.13701e-12
18000000000	10	9.47508e-13
18600000000	8	7.58006e-13
19200000000	3	2.84252e-13
19800000000	5	4.73754e-13
20400000000	1	9.47508e-14
21000000000	1	9.47508e-14
21600000000	1	9.47508e-14
22200000000	1	9.47508e-14
22800000000	2	1.89502e-13
23400000000	2	1.89502e-13
24000000000	0	0
24600000000	0	0
25200000000	0	0
25800000000	3	2.84252e-13
26400000000	2	1.89502e-13
27000000000	0	0
27600000000	1	9.47508e-14
28200000000	1	9.47508e-14
28800000000	0	0
29400000000	0	0
