START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30000000000 ps
To: 30000000000 ps
START counts: 7990
STOP counts: 8841
Time intervals: 17646
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-30000000000	1	9.44501e-14
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	1	9.44501e-14
-27000000000	0	0
-26400000000	2	1.889e-13
-25800000000	1	9.44501e-14
-25200000000	2	1.889e-13
-24600000000	2	1.889e-13
-24000000000	0	0
-23400000000	4	3.778e-13
-22800000000	3	2.8335e-13
-22200000000	3	2.8335e-13
-21600000000	5	4.72251e-13
-21000000000	6	5.66701e-13
-20400000000	3	2.8335e-13
-19800000000	9	8.50051e-13
-19200000000	9	8.50051e-13
-18600000000	10	9.44501e-13
-18000000000	13	1.22785e-12
-17400000000	14	1.3223e-12
-16800000000	12	1.1334e-12
-16200000000	14	1.3223e-12
-15600000000	31	2.92795e-12
-15000000000	35	3.30575e-12
-14400000000	39	3.68355e-12
-13800000000	33	3.11685e-12
-13200000000	39	3.68355e-12
-12600000000	58	5.47811e-12
-12000000000	46	4.34471e-12
-11400000000	95	8.97276e-12
-10800000000	75	7.08376e-12
-10200000000	92	8.68941e-12
-9600000000	104	9.82281e-12
-9000000000	125	1.18063e-11
-8400000000	166	1.56787e-11
-7800000000	195	1.84178e-11
-7200000000	220	2.0779e-11
-6600000000	274	2.58793e-11
-6000000000	295	2.78628e-11
-5400000000	361	3.40965e-11
-4800000000	410	3.87245e-11
-4200000000	498	4.70362e-11
-3600000000	577	5.44977e-11
-3000000000	658	6.21482e-11
-2400000000	793	7.48989e-11
-1800000000	974	9.19944e-11
-1200000000	1134	1.07106e-10
-600000000	1379	1.30247e-10
0	1405	1.32702e-10
600000000	1097	1.03612e-10
1200000000	945	8.92554e-11
1800000000	783	7.39544e-11
2400000000	690	6.51706e-11
3000000000	570	5.38366e-11
3600000000	492	4.64695e-11
4200000000	419	3.95746e-11
4800000000	348	3.28686e-11
5400000000	314	2.96573e-11
6000000000	258	2.43681e-11
6600000000	224	2.11568e-11
7200000000	203	1.91734e-11
7800000000	165	1.55843e-11
8400000000	123	1.16174e-11
9000000000	112	1.05784e-11
9600000000	87	8.21716e-12
10200000000	88	8.31161e-12
10800000000	83	7.83936e-12
11400000000	71	6.70596e-12
12000000000	60	5.66701e-12
12600000000	40	3.778e-12
13200000000	44	4.1558e-12
13800000000	34	3.2113e-12
14400000000	22	2.0779e-12
15000000000	26	2.4557e-12
15600000000	18	1.7001e-12
16200000000	17	1.60565e-12
16800000000	18	1.7001e-12
17400000000	11	1.03895e-12
18000000000	9	8.50051e-13
18600000000	9	8.50051e-13
19200000000	4	3.778e-13
19800000000	2	1.889e-13
20400000000	9	8.50051e-13
21000000000	3	2.8335e-13
21600000000	5	4.72251e-13
22200000000	2	1.889e-13
22800000000	0	0
23400000000	3	2.8335e-13
24000000000	6	5.66701e-13
24600000000	2	1.889e-13
25200000000	1	9.44501e-14
25800000000	3	2.8335e-13
26400000000	0	0
27000000000	0	0
27600000000	1	9.44501e-14
28200000000	0	0
28800000000	0	0
29400000000	0	0
