START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30000000000 ps
To: 30000000000 ps
START counts: 9734
STOP counts: 9080
Time intervals: 18150
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	0	0
-27000000000	0	0
-26400000000	1	9.18274e-14
-25800000000	0	0
-25200000000	3	2.75482e-13
-24600000000	1	9.18274e-14
-24000000000	1	9.18274e-14
-23400000000	1	9.18274e-14
-22800000000	0	0
-22200000000	1	9.18274e-14
-21600000000	1	9.18274e-14
-21000000000	3	2.75482e-13
-20400000000	1	9.18274e-14
-19800000000	4	3.67309e-13
-19200000000	3	2.75482e-13
-18600000000	8	7.34619e-13
-18000000000	7	6.42792e-13
-17400000000	4	3.67309e-13
-16800000000	8	7.34619e-13
-16200000000	7	6.42792e-13
-15600000000	10	9.18274e-13
-15000000000	21	1.92837e-12
-14400000000	23	2.11203e-12
-13800000000	26	2.38751e-12
-13200000000	28	2.57117e-12
-12600000000	33	3.0303e-12
-12000000000	46	4.22406e-12
-11400000000	60	5.50964e-12
-10800000000	46	4.22406e-12
-10200000000	68	6.24426e-12
-9600000000	88	8.08081e-12
-9000000000	92	8.44812e-12
-8400000000	122	1.12029e-11
-7800000000	147	1.34986e-11
-7200000000	196	1.79982e-11
-6600000000	221	2.02938e-11
-6000000000	269	2.47016e-11
-5400000000	314	2.88338e-11
-4800000000	379	3.48026e-11
-4200000000	516	4.73829e-11
-3600000000	599	5.50046e-11
-3000000000	636	5.84022e-11
-2400000000	854	7.84206e-11
-1800000000	1088	9.99082e-11
-1200000000	1404	1.28926e-10
-600000000	1735	1.5932e-10
0	1726	1.58494e-10
600000000	1396	1.28191e-10
1200000000	1055	9.68779e-11
1800000000	845	7.75941e-11
2400000000	740	6.79522e-11
3000000000	628	5.76676e-11
3600000000	496	4.55464e-11
4200000000	367	3.37006e-11
4800000000	294	2.69972e-11
5400000000	263	2.41506e-11
6000000000	229	2.10285e-11
6600000000	168	1.5427e-11
7200000000	146	1.34068e-11
7800000000	117	1.07438e-11
8400000000	99	9.09091e-12
9000000000	82	7.52984e-12
9600000000	73	6.7034e-12
10200000000	44	4.0404e-12
10800000000	38	3.48944e-12
11400000000	38	3.48944e-12
12000000000	45	4.13223e-12
12600000000	31	2.84665e-12
13200000000	33	3.0303e-12
13800000000	20	1.83655e-12
14400000000	18	1.65289e-12
15000000000	16	1.46924e-12
15600000000	14	1.28558e-12
16200000000	7	6.42792e-13
16800000000	11	1.0101e-12
17400000000	4	3.67309e-13
18000000000	4	3.67309e-13
18600000000	3	2.75482e-13
19200000000	3	2.75482e-13
19800000000	6	5.50964e-13
20400000000	3	2.75482e-13
21000000000	1	9.18274e-14
21600000000	3	2.75482e-13
22200000000	2	1.83655e-13
22800000000	0	0
23400000000	2	1.83655e-13
24000000000	3	2.75482e-13
24600000000	0	0
25200000000	1	9.18274e-14
25800000000	0	0
26400000000	0	0
27000000000	1	9.18274e-14
27600000000	0	0
28200000000	0	0
28800000000	0	0
29400000000	0	0
