START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30000000000 ps
To: 30000000000 ps
START counts: 8085
STOP counts: 8886
Time intervals: 17747
Elapsed time: 30.0 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	0	0
-28200000000	0	0
-27600000000	0	0
-27000000000	1	9.39126e-14
-26400000000	0	0
-25800000000	2	1.87825e-13
-25200000000	2	1.87825e-13
-24600000000	4	3.7565e-13
-24000000000	1	9.39126e-14
-23400000000	1	9.39126e-14
-22800000000	4	3.7565e-13
-22200000000	4	3.7565e-13
-21600000000	2	1.87825e-13
-21000000000	8	7.51301e-13
-20400000000	4	3.7565e-13
-19800000000	6	5.63476e-13
-19200000000	4	3.7565e-13
-18600000000	9	8.45213e-13
-18000000000	13	1.22086e-12
-17400000000	16	1.5026e-12
-16800000000	19	1.78434e-12
-16200000000	18	1.69043e-12
-15600000000	22	2.06608e-12
-15000000000	34	3.19303e-12
-14400000000	25	2.34781e-12
-13800000000	27	2.53564e-12
-13200000000	39	3.66259e-12
-12600000000	40	3.7565e-12
-12000000000	58	5.44693e-12
-11400000000	73	6.85562e-12
-10800000000	68	6.38606e-12
-10200000000	85	7.98257e-12
-9600000000	134	1.25843e-11
-9000000000	130	1.22086e-11
-8400000000	143	1.34295e-11
-7800000000	154	1.44625e-11
-7200000000	205	1.92521e-11
-6600000000	240	2.2539e-11
-6000000000	288	2.70468e-11
-5400000000	361	3.39024e-11
-4800000000	423	3.9725e-11
-4200000000	484	4.54537e-11
-3600000000	550	5.16519e-11
-3000000000	661	6.20762e-11
-2400000000	798	7.49422e-11
-1800000000	967	9.08135e-11
-1200000000	1224	1.14949e-10
-600000000	1527	1.43405e-10
0	1810	1.69982e-10
600000000	1079	1.01332e-10
1200000000	977	9.17526e-11
1800000000	800	7.51301e-11
2400000000	639	6.00101e-11
3000000000	551	5.17458e-11
3600000000	442	4.15094e-11
4200000000	351	3.29633e-11
4800000000	331	3.10851e-11
5400000000	297	2.7892e-11
6000000000	272	2.55442e-11
6600000000	193	1.81251e-11
7200000000	157	1.47443e-11
7800000000	158	1.48382e-11
8400000000	149	1.3993e-11
9000000000	100	9.39126e-12
9600000000	80	7.51301e-12
10200000000	88	8.26431e-12
10800000000	67	6.29214e-12
11400000000	38	3.56868e-12
12000000000	39	3.66259e-12
12600000000	43	4.03824e-12
13200000000	42	3.94433e-12
13800000000	30	2.81738e-12
14400000000	20	1.87825e-12
15000000000	21	1.97216e-12
15600000000	16	1.5026e-12
16200000000	11	1.03304e-12
16800000000	13	1.22086e-12
17400000000	9	8.45213e-13
18000000000	7	6.57388e-13
18600000000	6	5.63476e-13
19200000000	7	6.57388e-13
19800000000	3	2.81738e-13
20400000000	5	4.69563e-13
21000000000	3	2.81738e-13
21600000000	1	9.39126e-14
22200000000	2	1.87825e-13
22800000000	4	3.7565e-13
23400000000	1	9.39126e-14
24000000000	1	9.39126e-14
24600000000	3	2.81738e-13
25200000000	2	1.87825e-13
25800000000	1	9.39126e-14
26400000000	0	0
27000000000	0	0
27600000000	0	0
28200000000	0	0
28800000000	0	0
29400000000	0	0
