Total counts: 18634
Active taps: 163
Average width: 17.53 ps
Temperature: 62.5 °C

Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
98	58	0.00311259	8.89	1801.93	-0.4926	5.054
99	14	0.000751315	2.15	1807.45	-0.8775	4.176
100	100	0.00536653	15.33	1816.19	-0.1253	4.051
101	31	0.00166363	4.75	1826.23	-0.7288	3.322
102	48	0.00257594	7.36	1832.29	-0.5801	2.742
103	66	0.00354191	10.12	1841.03	-0.4227	2.319
104	142	0.00762048	21.77	1856.97	0.2421	2.561
105	76	0.00407857	11.65	1873.69	-0.3352	2.226
106	198	0.0106257	30.36	1894.69	0.7320	2.958
107	27	0.00144896	4.14	1911.94	-0.7638	2.194
108	243	0.0130407	37.26	1932.64	1.1256	3.320
109	9	0.000482988	1.38	1951.96	-0.9213	2.399
110	189	0.0101427	28.98	1967.14	0.6533	3.052
111	35	0.00187829	5.37	1984.31	-0.6938	2.358
112	336	0.0180316	51.52	2012.76	1.9391	4.297
113	16	0.000858645	2.45	2039.74	-0.8600	3.437
114	254	0.013631	38.95	2060.44	1.2219	4.659
115	12	0.000643984	1.84	2080.84	-0.8950	3.764
116	219	0.0117527	33.58	2098.54	0.9157	4.680
117	31	0.00166363	4.75	2117.71	-0.7288	3.951
118	177	0.00949877	27.14	2133.66	0.5483	4.499
119	31	0.00166363	4.75	2149.60	-0.7288	3.770
120	60	0.00321992	9.20	2156.58	-0.4752	3.295
121	9	0.000482988	1.38	2161.87	-0.9213	2.374
122	188	0.0100891	28.83	2176.97	0.6445	3.019
123	17	0.000912311	2.61	2192.69	-0.8513	2.167
124	182	0.00976709	27.91	2207.95	0.5920	2.759
125	15	0.00080498	2.30	2223.05	-0.8688	1.891
126	157	0.00842546	24.07	2236.23	0.3733	2.264
127	79	0.00423956	12.11	2254.33	-0.3090	1.955
128	332	0.0178169	50.91	2285.84	1.9042	3.859
129	14	0.000751315	2.15	2312.36	-0.8775	2.982
130	206	0.0110551	31.59	2329.23	0.8020	3.784
131	6	0.000321992	0.92	2345.48	-0.9475	2.836
132	178	0.00955243	27.29	2359.59	0.5570	3.393
133	44	0.00236128	6.75	2376.61	-0.6151	2.778
134	152	0.00815713	23.31	2391.63	0.3296	3.108
135	48	0.00257594	7.36	2406.97	-0.5801	2.527
136	168	0.00901578	25.76	2423.53	0.4696	2.997
137	16	0.000858645	2.45	2437.63	-0.8600	2.137
138	234	0.0125577	35.88	2456.80	1.0469	3.184
139	1	5.36653e-05	0.15	2474.82	-0.9913	2.193
140	100	0.00536653	15.33	2482.56	-0.1253	2.067
141	30	0.00160996	4.60	2492.53	-0.7376	1.330
142	227	0.012182	34.81	2512.23	0.9857	2.315
143	18	0.000965976	2.76	2531.01	-0.8425	1.473
144	297	0.0159386	45.54	2555.16	1.5980	3.071
145	10	0.000536653	1.53	2578.70	-0.9125	2.158
146	147	0.00788881	22.54	2590.73	0.2859	2.444
147	101	0.0054202	15.49	2609.75	-0.1165	2.328
148	293	0.0157239	44.93	2639.95	1.5630	3.891
149	2	0.000107331	0.31	2662.57	-0.9825	2.908
150	191	0.0102501	29.29	2677.36	0.6708	3.579
151	77	0.00413223	11.81	2697.91	-0.3264	3.253
152	14	0.000751315	2.15	2704.89	-0.8775	2.375
153	33	0.00177096	5.06	2708.49	-0.7113	1.664
154	179	0.0096061	27.45	2724.74	0.5658	2.229
155	73	0.00391757	11.19	2744.06	-0.3614	1.868
156	168	0.00901578	25.76	2762.54	0.4696	2.338
157	55	0.00295159	8.43	2779.63	-0.5189	1.819
158	212	0.0113771	32.51	2800.10	0.8545	2.673
159	18	0.000965976	2.76	2817.74	-0.8425	1.831
160	156	0.00837179	23.92	2831.08	0.3646	2.195
161	20	0.00107331	3.07	2844.57	-0.8251	1.370
162	71	0.00381024	10.89	2851.55	-0.3789	0.991
163	1	5.36653e-05	0.15	2857.07	-0.9913	-0.000
164	0	0	0.00	2857.14	0.0000	-0.000
165	0	0	0.00	2857.14	0.0000	-0.000
166	0	0	0.00	2857.14	0.0000	-0.000
167	0	0	0.00	2857.14	0.0000	-0.000
168	0	0	0.00	2857.14	0.0000	-0.000
169	0	0	0.00	2857.14	0.0000	-0.000
170	0	0	0.00	2857.14	0.0000	-0.000
171	0	0	0.00	2857.14	0.0000	-0.000
172	0	0	0.00	2857.14	0.0000	-0.000
173	0	0	0.00	2857.14	0.0000	-0.000
174	0	0	0.00	2857.14	0.0000	-0.000
175	0	0	0.00	2857.14	0.0000	-0.000
176	0	0	0.00	2857.14	0.0000	-0.000
177	0	0	0.00	2857.14	0.0000	-0.000
178	0	0	0.00	2857.14	0.0000	-0.000
179	0	0	0.00	2857.14	0.0000	-0.000
180	0	0	0.00	2857.14	0.0000	-0.000
181	0	0	0.00	2857.14	0.0000	-0.000
182	0	0	0.00	2857.14	0.0000	-0.000
183	0	0	0.00	2857.14	0.0000	-0.000
184	0	0	0.00	2857.14	0.0000	-0.000
185	0	0	0.00	2857.14	0.0000	-0.000
186	0	0	0.00	2857.14	0.0000	-0.000
187	0	0	0.00	2857.14	0.0000	-0.000
188	0	0	0.00	2857.14	0.0000	-0.000
189	0	0	0.00	2857.14	0.0000	-0.000
190	0	0	0.00	2857.14	0.0000	-0.000
191	0	0	0.00	2857.14	0.0000	-0.000
192	0	0	0.00	2857.14	0.0000	-0.000
