START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30000000000 ps
To: 30000000000 ps
START counts: 8027
STOP counts: 8477
Time intervals: 16929
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-30000000000	0	0
-29400000000	0	0
-28800000000	1	9.84504e-14
-28200000000	2	1.96901e-13
-27600000000	0	0
-27000000000	2	1.96901e-13
-26400000000	1	9.84504e-14
-25800000000	3	2.95351e-13
-25200000000	3	2.95351e-13
-24600000000	3	2.95351e-13
-24000000000	1	9.84504e-14
-23400000000	2	1.96901e-13
-22800000000	1	9.84504e-14
-22200000000	3	2.95351e-13
-21600000000	3	2.95351e-13
-21000000000	5	4.92252e-13
-20400000000	6	5.90702e-13
-19800000000	11	1.08295e-12
-19200000000	9	8.86054e-13
-18600000000	6	5.90702e-13
-18000000000	11	1.08295e-12
-17400000000	17	1.67366e-12
-16800000000	21	2.06746e-12
-16200000000	21	2.06746e-12
-15600000000	17	1.67366e-12
-15000000000	17	1.67366e-12
-14400000000	27	2.65816e-12
-13800000000	27	2.65816e-12
-13200000000	40	3.93802e-12
-12600000000	45	4.43027e-12
-12000000000	52	5.11942e-12
-11400000000	65	6.39928e-12
-10800000000	61	6.00547e-12
-10200000000	88	8.66363e-12
-9600000000	117	1.15187e-11
-9000000000	134	1.31924e-11
-8400000000	154	1.51614e-11
-7800000000	191	1.8804e-11
-7200000000	211	2.0773e-11
-6600000000	241	2.37265e-11
-6000000000	324	3.18979e-11
-5400000000	345	3.39654e-11
-4800000000	437	4.30228e-11
-4200000000	479	4.71577e-11
-3600000000	589	5.79873e-11
-3000000000	653	6.42881e-11
-2400000000	764	7.52161e-11
-1800000000	907	8.92945e-11
-1200000000	1060	1.04357e-10
-600000000	1285	1.26509e-10
0	1369	1.34779e-10
600000000	1042	1.02585e-10
1200000000	898	8.84085e-11
1800000000	730	7.18688e-11
2400000000	670	6.59618e-11
3000000000	560	5.51322e-11
3600000000	474	4.66655e-11
4200000000	381	3.75096e-11
4800000000	363	3.57375e-11
5400000000	288	2.83537e-11
6000000000	261	2.56956e-11
6600000000	213	2.09699e-11
7200000000	171	1.6835e-11
7800000000	158	1.55552e-11
8400000000	142	1.398e-11
9000000000	123	1.21094e-11
9600000000	99	9.74659e-12
10200000000	92	9.05744e-12
10800000000	78	7.67913e-12
11400000000	52	5.11942e-12
12000000000	48	4.72562e-12
12600000000	44	4.33182e-12
13200000000	34	3.34731e-12
13800000000	30	2.95351e-12
14400000000	19	1.87056e-12
15000000000	14	1.37831e-12
15600000000	9	8.86054e-13
16200000000	13	1.27986e-12
16800000000	16	1.57521e-12
17400000000	13	1.27986e-12
18000000000	12	1.1814e-12
18600000000	4	3.93802e-13
19200000000	8	7.87603e-13
19800000000	6	5.90702e-13
20400000000	2	1.96901e-13
21000000000	5	4.92252e-13
21600000000	4	3.93802e-13
22200000000	5	4.92252e-13
22800000000	4	3.93802e-13
23400000000	4	3.93802e-13
24000000000	1	9.84504e-14
24600000000	1	9.84504e-14
25200000000	1	9.84504e-14
25800000000	2	1.96901e-13
26400000000	1	9.84504e-14
27000000000	0	0
27600000000	1	9.84504e-14
28200000000	0	0
28800000000	1	9.84504e-14
29400000000	1	9.84504e-14
