# Time [ns]	Counts	PDF [1/ns]
-500	0	0
-495	0	0
-490	0	0
-485	0	0
-480	0	0
-475	0	0
-470	0	0
-465	0	0
-460	0	0
-455	0	0
-450	0	0
-445	0	0
-440	0	0
-435	0	0
-430	0	0
-425	0	0
-420	0	0
-415	0	0
-410	0	0
-405	0	0
-400	0	0
-395	0	0
-390	0	0
-385	0	0
-380	0	0
-375	0	0
-370	0	0
-365	0	0
-360	0	0
-355	0	0
-350	0	0
-345	0	0
-340	0	0
-335	0	0
-330	0	0
-325	0	0
-320	0	0
-315	0	0
-310	0	0
-305	0	0
-300	0	0
-295	0	0
-290	0	0
-285	0	0
-280	0	0
-275	0	0
-270	0	0
-265	0	0
-260	0	0
-255	0	0
-250	0	0
-245	0	0
-240	0	0
-235	0	0
-230	0	0
-225	0	0
-220	0	0
-215	0	0
-210	0	0
-205	0	0
-200	0	0
-195	0	0
-190	0	0
-185	0	0
-180	0	0
-175	0	0
-170	0	0
-165	0	0
-160	0	0
-155	0	0
-150	2	0.00519481
-145	0	0
-140	0	0
-135	0	0
-130	0	0
-125	0	0
-120	0	0
-115	1	0.0025974
-110	0	0
-105	1	0.0025974
-100	2	0.00519481
-95	0	0
-90	6	0.0155844
-85	4	0.0103896
-80	2	0.00519481
-75	1	0.0025974
-70	1	0.0025974
-65	2	0.00519481
-60	1	0.0025974
-55	0	0
-50	0	0
-45	1	0.0025974
-40	1	0.0025974
-35	1	0.0025974
-30	0	0
-25	1	0.0025974
-20	2	0.00519481
-15	0	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	1	0.0025974
15	1	0.0025974
20	0	0
25	3	0.00779221
30	5	0.012987
35	3	0.00779221
40	0	0
45	2	0.00519481
50	1	0.0025974
55	4	0.0103896
60	4	0.0103896
65	2	0.00519481
70	2	0.00519481
75	0	0
80	1	0.0025974
85	5	0.012987
90	2	0.00519481
95	2	0.00519481
100	0	0
105	3	0.00779221
110	0	0
115	0	0
120	0	0
125	0	0
130	0	0
135	0	0
140	1	0.0025974
145	1	0.0025974
150	0	0
155	1	0.0025974
160	0	0
165	0	0
170	1	0.0025974
175	0	0
180	0	0
185	0	0
190	0	0
195	0	0
200	0	0
205	0	0
210	0	0
215	0	0
220	0	0
225	0	0
230	0	0
235	0	0
240	0	0
245	1	0.0025974
250	0	0
255	0	0
260	0	0
265	1	0.0025974
270	0	0
275	0	0
280	0	0
285	0	0
290	0	0
295	0	0
300	0	0
305	0	0
310	0	0
315	0	0
320	0	0
325	0	0
330	0	0
335	0	0
340	0	0
345	0	0
350	0	0
355	1	0.0025974
360	0	0
365	0	0
370	0	0
375	0	0
380	0	0
385	0	0
390	0	0
395	0	0
400	0	0
405	0	0
410	0	0
415	0	0
420	0	0
425	0	0
430	0	0
435	0	0
440	0	0
445	0	0
450	0	0
455	0	0
460	0	0
465	0	0
470	0	0
475	0	0
480	0	0
485	0	0
490	0	0
495	0	0
