# Time [ns]	Counts	PDF [1/ns]
-500	0	0
-495	0	0
-490	0	0
-485	0	0
-480	0	0
-475	0	0
-470	0	0
-465	0	0
-460	0	0
-455	0	0
-450	0	0
-445	0	0
-440	0	0
-435	0	0
-430	0	0
-425	0	0
-420	0	0
-415	0	0
-410	0	0
-405	0	0
-400	0	0
-395	0	0
-390	0	0
-385	0	0
-380	0	0
-375	0	0
-370	0	0
-365	0	0
-360	0	0
-355	0	0
-350	0	0
-345	0	0
-340	0	0
-335	0	0
-330	0	0
-325	0	0
-320	0	0
-315	0	0
-310	0	0
-305	0	0
-300	0	0
-295	0	0
-290	0	0
-285	0	0
-280	0	0
-275	0	0
-270	0	0
-265	0	0
-260	0	0
-255	0	0
-250	0	0
-245	0	0
-240	0	0
-235	0	0
-230	0	0
-225	0	0
-220	1	0.000619195
-215	0	0
-210	0	0
-205	0	0
-200	1	0.000619195
-195	0	0
-190	0	0
-185	0	0
-180	0	0
-175	1	0.000619195
-170	0	0
-165	1	0.000619195
-160	1	0.000619195
-155	0	0
-150	1	0.000619195
-145	1	0.000619195
-140	0	0
-135	0	0
-130	1	0.000619195
-125	3	0.00185759
-120	10	0.00619195
-115	1	0.000619195
-110	1	0.000619195
-105	0	0
-100	0	0
-95	1	0.000619195
-90	7	0.00433437
-85	5	0.00309598
-80	2	0.00123839
-75	0	0
-70	0	0
-65	4	0.00247678
-60	7	0.00433437
-55	24	0.0148607
-50	6	0.00371517
-45	11	0.00681115
-40	3	0.00185759
-35	6	0.00371517
-30	11	0.00681115
-25	24	0.0148607
-20	10	0.00619195
-15	21	0.0130031
-10	15	0.00928793
-5	12	0.00743034
0	14	0.00866873
5	13	0.00804954
10	13	0.00804954
15	6	0.00371517
20	14	0.00866873
25	7	0.00433437
30	12	0.00743034
35	8	0.00495356
40	1	0.000619195
45	0	0
50	1	0.000619195
55	5	0.00309598
60	5	0.00309598
65	5	0.00309598
70	3	0.00185759
75	3	0.00185759
80	1	0.000619195
85	2	0.00123839
90	1	0.000619195
95	2	0.00123839
100	1	0.000619195
105	2	0.00123839
110	2	0.00123839
115	1	0.000619195
120	2	0.00123839
125	1	0.000619195
130	2	0.00123839
135	1	0.000619195
140	1	0.000619195
145	0	0
150	0	0
155	0	0
160	0	0
165	1	0.000619195
170	1	0.000619195
175	0	0
180	0	0
185	0	0
190	0	0
195	0	0
200	0	0
205	0	0
210	0	0
215	0	0
220	0	0
225	0	0
230	0	0
235	0	0
240	0	0
245	0	0
250	0	0
255	0	0
260	0	0
265	0	0
270	0	0
275	0	0
280	0	0
285	0	0
290	0	0
295	0	0
300	0	0
305	0	0
310	0	0
315	0	0
320	0	0
325	0	0
330	0	0
335	0	0
340	0	0
345	0	0
350	0	0
355	0	0
360	0	0
365	0	0
370	0	0
375	0	0
380	0	0
385	0	0
390	0	0
395	0	0
400	0	0
405	0	0
410	0	0
415	0	0
420	0	0
425	0	0
430	0	0
435	0	0
440	0	0
445	0	0
450	0	0
455	0	0
460	0	0
465	0	0
470	0	0
475	0	0
480	0	0
485	0	0
490	0	0
495	0	0
