# START: TDC 1
# STOP: TDC 0
# 1st stop option: Off
# From: -48000000000 ps
# To: 48000000000 ps
# START counts: 20288
# STOP counts: 20165
# Time intervals: 40316
# Elapsed time: 15.0 s
# Offset: 0 ps
# 
# Time [ps]	Counts	PDF [1/ps]
-6510000000	1	7.6086e-13
-6477400000	1	7.6086e-13
-6444800000	0	0
-6412200000	0	0
-6379600000	0	0
-6347000000	0	0
-6314400000	0	0
-6281800000	0	0
-6249200000	0	0
-6216600000	0	0
-6184000000	0	0
-6151400000	0	0
-6118800000	0	0
-6086200000	0	0
-6053600000	0	0
-6021000000	0	0
-5988400000	4	3.04344e-12
-5955800000	1	7.6086e-13
-5923200000	0	0
-5890600000	1	7.6086e-13
-5858000000	1	7.6086e-13
-5825400000	0	0
-5792800000	1	7.6086e-13
-5760200000	0	0
-5727600000	1	7.6086e-13
-5695000000	0	0
-5662400000	1	7.6086e-13
-5629800000	1	7.6086e-13
-5597200000	2	1.52172e-12
-5564600000	0	0
-5532000000	0	0
-5499400000	1	7.6086e-13
-5466800000	0	0
-5434200000	1	7.6086e-13
-5401600000	0	0
-5369000000	0	0
-5336400000	0	0
-5303800000	0	0
-5271200000	0	0
-5238600000	0	0
-5206000000	1	7.6086e-13
-5173400000	0	0
-5140800000	2	1.52172e-12
-5108200000	2	1.52172e-12
-5075600000	0	0
-5043000000	1	7.6086e-13
-5010400000	0	0
-4977800000	0	0
-4945200000	3	2.28258e-12
-4912600000	0	0
-4880000000	1	7.6086e-13
-4847400000	3	2.28258e-12
-4814800000	1	7.6086e-13
-4782200000	1	7.6086e-13
-4749600000	2	1.52172e-12
-4717000000	3	2.28258e-12
-4684400000	1	7.6086e-13
-4651800000	2	1.52172e-12
-4619200000	1	7.6086e-13
-4586600000	1	7.6086e-13
-4554000000	3	2.28258e-12
-4521400000	1	7.6086e-13
-4488800000	2	1.52172e-12
-4456200000	3	2.28258e-12
-4423600000	2	1.52172e-12
-4391000000	0	0
-4358400000	1	7.6086e-13
-4325800000	0	0
-4293200000	2	1.52172e-12
-4260600000	6	4.56516e-12
-4228000000	2	1.52172e-12
-4195400000	2	1.52172e-12
-4162800000	1	7.6086e-13
-4130200000	2	1.52172e-12
-4097600000	1	7.6086e-13
-4065000000	0	0
-4032400000	4	3.04344e-12
-3999800000	3	2.28258e-12
-3967200000	2	1.52172e-12
-3934600000	5	3.8043e-12
-3902000000	5	3.8043e-12
-3869400000	2	1.52172e-12
-3836800000	3	2.28258e-12
-3804200000	2	1.52172e-12
-3771600000	1	7.6086e-13
-3739000000	2	1.52172e-12
-3706400000	3	2.28258e-12
-3673800000	4	3.04344e-12
-3641200000	4	3.04344e-12
-3608600000	3	2.28258e-12
-3576000000	5	3.8043e-12
-3543400000	2	1.52172e-12
-3510800000	7	5.32602e-12
-3478200000	6	4.56516e-12
-3445600000	6	4.56516e-12
-3413000000	11	8.36946e-12
-3380400000	6	4.56516e-12
-3347800000	9	6.84774e-12
-3315200000	5	3.8043e-12
-3282600000	11	8.36946e-12
-3250000000	11	8.36946e-12
-3217400000	10	7.6086e-12
-3184800000	7	5.32602e-12
-3152200000	12	9.13032e-12
-3119600000	11	8.36946e-12
-3087000000	12	9.13032e-12
-3054400000	11	8.36946e-12
-3021800000	15	1.14129e-11
-2989200000	17	1.29346e-11
-2956600000	11	8.36946e-12
-2924000000	19	1.44563e-11
-2891400000	14	1.0652e-11
-2858800000	15	1.14129e-11
-2826200000	15	1.14129e-11
-2793600000	18	1.36955e-11
-2761000000	14	1.0652e-11
-2728400000	22	1.67389e-11
-2695800000	15	1.14129e-11
-2663200000	14	1.0652e-11
-2630600000	23	1.74998e-11
-2598000000	19	1.44563e-11
-2565400000	23	1.74998e-11
-2532800000	27	2.05432e-11
-2500200000	31	2.35867e-11
-2467600000	29	2.2065e-11
-2435000000	29	2.2065e-11
-2402400000	36	2.7391e-11
-2369800000	31	2.35867e-11
-2337200000	40	3.04344e-11
-2304600000	35	2.66301e-11
-2272000000	41	3.11953e-11
-2239400000	41	3.11953e-11
-2206800000	36	2.7391e-11
-2174200000	38	2.89127e-11
-2141600000	39	2.96736e-11
-2109000000	48	3.65213e-11
-2076400000	43	3.2717e-11
-2043800000	50	3.8043e-11
-2011200000	52	3.95647e-11
-1978600000	58	4.41299e-11
-1946000000	50	3.8043e-11
-1913400000	50	3.8043e-11
-1880800000	68	5.17385e-11
-1848200000	63	4.79342e-11
-1815600000	59	4.48908e-11
-1783000000	72	5.47819e-11
-1750400000	83	6.31514e-11
-1717800000	85	6.46731e-11
-1685200000	100	7.6086e-11
-1652600000	83	6.31514e-11
-1620000000	93	7.076e-11
-1587400000	89	6.77166e-11
-1554800000	84	6.39123e-11
-1522200000	103	7.83686e-11
-1489600000	106	8.06512e-11
