# Time [ps]	Counts	PDF [1/ps]
5670000000	1	9.32323e-13
5700000000	1	9.32323e-13
5730000000	1	9.32323e-13
5760000000	1	9.32323e-13
5790000000	2	1.86465e-12
5820000000	1	9.32323e-13
5850000000	2	1.86465e-12
5880000000	0	0
5910000000	0	0
5940000000	0	0
5970000000	1	9.32323e-13

# Time [ps]	Counts	PDF [1/ps]
0	1218	1.1519e-09
30000000	1124	1.063e-09
60000000	1158	1.09516e-09
90000000	1176	1.11218e-09
120000000	1149	1.08665e-09
150000000	1110	1.04976e-09
180000000	973	9.20199e-10
210000000	989	9.35331e-10
240000000	959	9.06959e-10
270000000	844	7.98199e-10
300000000	906	8.56835e-10
330000000	909	8.59672e-10
360000000	770	7.28215e-10
390000000	820	7.75502e-10
420000000	726	6.86603e-10
450000000	725	6.85657e-10
480000000	742	7.01734e-10
510000000	652	6.16618e-10
540000000	668	6.3175e-10
570000000	634	5.99595e-10
600000000	565	5.3434e-10
630000000	618	5.84463e-10
660000000	604	5.71223e-10
690000000	554	5.23937e-10
720000000	535	5.05968e-10
750000000	488	4.61518e-10
780000000	494	4.67192e-10
810000000	458	4.33146e-10
840000000	461	4.35983e-10
870000000	438	4.14231e-10
900000000	412	3.89642e-10
930000000	410	3.87751e-10
960000000	427	4.03828e-10
990000000	396	3.74511e-10
1020000000	385	3.64108e-10
1050000000	347	3.2817e-10
1080000000	356	3.36681e-10
1110000000	320	3.02635e-10
1140000000	319	3.01689e-10
1170000000	289	2.73317e-10
1200000000	293	2.771e-10
1230000000	271	2.56294e-10
1260000000	278	2.62914e-10
1290000000	265	2.50619e-10
1320000000	235	2.22247e-10
1350000000	269	2.54402e-10
1380000000	255	2.41162e-10
1410000000	219	2.07116e-10
1440000000	204	1.9293e-10
1470000000	202	1.91038e-10
1500000000	209	1.97658e-10
1530000000	205	1.93875e-10
1560000000	190	1.79689e-10
1590000000	192	1.81581e-10
1620000000	180	1.70232e-10
1650000000	139	1.31457e-10
1680000000	172	1.62666e-10
1710000000	182	1.72124e-10
1740000000	155	1.46589e-10
1770000000	151	1.42806e-10
1800000000	160	1.51317e-10
1830000000	149	1.40914e-10
1860000000	128	1.21054e-10
1890000000	133	1.25783e-10
1920000000	118	1.11597e-10
1950000000	123	1.16325e-10
1980000000	88	8.32246e-11
2010000000	106	1.00248e-10
2040000000	109	1.03085e-10
2070000000	90	8.5116e-11
2100000000	99	9.36276e-11
2130000000	93	8.79532e-11
2160000000	96	9.07904e-11
2190000000	78	7.37672e-11
2220000000	71	6.71471e-11
2250000000	83	7.84959e-11
2280000000	81	7.66044e-11
2310000000	85	8.03874e-11
2340000000	73	6.90386e-11
2370000000	73	6.90386e-11
2400000000	68	6.43099e-11
2430000000	58	5.48526e-11
2460000000	69	6.52556e-11
2490000000	49	4.6341e-11
2520000000	52	4.91782e-11
2550000000	55	5.20154e-11
2580000000	41	3.87751e-11
2610000000	37	3.49922e-11
2640000000	51	4.82324e-11
2670000000	54	5.10696e-11
2700000000	41	3.87751e-11
2730000000	46	4.35038e-11
2760000000	34	3.21549e-11
2790000000	50	4.72867e-11
2820000000	44	4.16123e-11
2850000000	47	4.44495e-11
2880000000	35	3.31007e-11
2910000000	32	3.02635e-11
2940000000	35	3.31007e-11
2970000000	45	4.2558e-11
3000000000	32	3.02635e-11
3030000000	34	3.21549e-11
3060000000	35	3.31007e-11
3090000000	33	3.12092e-11
3120000000	24	2.26976e-11
3150000000	31	2.93177e-11
3180000000	16	1.51317e-11
3210000000	26	2.45891e-11
3240000000	26	2.45891e-11
3270000000	21	1.98604e-11
3300000000	23	2.17519e-11
3330000000	23	2.17519e-11
3360000000	20	1.89147e-11
3390000000	21	1.98604e-11
3420000000	14	1.32403e-11
3450000000	13	1.22945e-11
3480000000	24	2.26976e-11
3510000000	16	1.51317e-11
3540000000	12	1.13488e-11
3570000000	22	2.08061e-11
3600000000	14	1.32403e-11
3630000000	15	1.4186e-11
3660000000	16	1.51317e-11
3690000000	10	9.45734e-12
3720000000	10	9.45734e-12
3750000000	12	1.13488e-11
3780000000	18	1.70232e-11
3810000000	21	1.98604e-11
3840000000	12	1.13488e-11
3870000000	14	1.32403e-11
3900000000	2	1.89147e-12
3930000000	14	1.32403e-11
3960000000	9	8.5116e-12
3990000000	12	1.13488e-11
4020000000	8	7.56587e-12
4050000000	7	6.62014e-12
4080000000	9	8.5116e-12
4110000000	14	1.32403e-11
4140000000	12	1.13488e-11
4170000000	5	4.72867e-12
4200000000	8	7.56587e-12
4230000000	3	2.8372e-12
4260000000	8	7.56587e-12
4290000000	7	6.62014e-12
4320000000	7	6.62014e-12
4350000000	5	4.72867e-12
4380000000	6	5.6744e-12
4410000000	6	5.6744e-12
4440000000	1	9.45734e-13
4470000000	10	9.45734e-12
4500000000	4	3.78294e-12
4530000000	10	9.45734e-12
4560000000	8	7.56587e-12
4590000000	4	3.78294e-12
4620000000	4	3.78294e-12
