# Time [ns]	Counts	PDF [1/ns]
-500	0	0
-495	0	0
-490	0	0
-485	0	0
-480	0	0
-475	0	0
-470	0	0
-465	0	0
-460	0	0
-455	0	0
-450	0	0
-445	0	0
-440	0	0
-435	0	0
-430	0	0
-425	0	0
-420	0	0
-415	0	0
-410	0	0
-405	0	0
-400	0	0
-395	0	0
-390	0	0
-385	0	0
-380	0	0
-375	0	0
-370	0	0
-365	0	0
-360	0	0
-355	0	0
-350	0	0
-345	0	0
-340	0	0
-335	0	0
-330	0	0
-325	0	0
-320	0	0
-315	0	0
-310	0	0
-305	0	0
-300	0	0
-295	0	0
-290	0	0
-285	0	0
-280	0	0
-275	0	0
-270	0	0
-265	0	0
-260	0	0
-255	0	0
-250	0	0
-245	0	0
-240	0	0
-235	1	0.000904977
-230	0	0
-225	0	0
-220	0	0
-215	0	0
-210	0	0
-205	0	0
-200	0	0
-195	0	0
-190	0	0
-185	0	0
-180	0	0
-175	0	0
-170	0	0
-165	0	0
-160	0	0
-155	0	0
-150	1	0.000904977
-145	0	0
-140	0	0
-135	0	0
-130	2	0.00180995
-125	4	0.00361991
-120	7	0.00633484
-115	2	0.00180995
-110	0	0
-105	0	0
-100	1	0.000904977
-95	2	0.00180995
-90	5	0.00452489
-85	1	0.000904977
-80	1	0.000904977
-75	0	0
-70	0	0
-65	2	0.00180995
-60	2	0.00180995
-55	20	0.0180995
-50	3	0.00271493
-45	5	0.00452489
-40	1	0.000904977
-35	1	0.000904977
-30	12	0.0108597
-25	6	0.00542986
-20	7	0.00633484
-15	12	0.0108597
-10	7	0.00633484
-5	11	0.00995475
0	9	0.0081448
5	9	0.0081448
10	8	0.00723982
15	5	0.00452489
20	4	0.00361991
25	9	0.0081448
30	10	0.00904977
35	3	0.00271493
40	0	0
45	1	0.000904977
50	4	0.00361991
55	2	0.00180995
60	5	0.00452489
65	7	0.00633484
70	2	0.00180995
75	1	0.000904977
80	4	0.00361991
85	2	0.00180995
90	1	0.000904977
95	2	0.00180995
100	3	0.00271493
105	1	0.000904977
110	2	0.00180995
115	0	0
120	1	0.000904977
125	1	0.000904977
130	0	0
135	0	0
140	3	0.00271493
145	0	0
150	0	0
155	2	0.00180995
160	1	0.000904977
165	0	0
170	0	0
175	1	0.000904977
180	0	0
185	0	0
190	0	0
195	0	0
200	0	0
205	0	0
210	0	0
215	0	0
220	0	0
225	0	0
230	0	0
235	0	0
240	0	0
245	0	0
250	0	0
255	0	0
260	0	0
265	0	0
270	1	0.000904977
275	0	0
280	0	0
285	1	0.000904977
290	0	0
295	0	0
300	0	0
305	0	0
310	0	0
315	0	0
320	0	0
325	0	0
330	0	0
335	0	0
340	0	0
345	0	0
350	0	0
355	0	0
360	0	0
365	0	0
370	0	0
375	0	0
380	0	0
385	0	0
390	0	0
395	0	0
400	0	0
405	0	0
410	0	0
415	0	0
420	0	0
425	0	0
430	0	0
435	0	0
440	0	0
445	0	0
450	0	0
455	0	0
460	0	0
465	0	0
470	0	0
475	0	0
480	0	0
485	0	0
490	0	0
495	0	0
