# Time [ns]	Counts	PDF [1/ns]
-500	0	0
-495	0	0
-490	0	0
-485	0	0
-480	0	0
-475	0	0
-470	0	0
-465	0	0
-460	0	0
-455	0	0
-450	0	0
-445	0	0
-440	0	0
-435	0	0
-430	0	0
-425	0	0
-420	0	0
-415	0	0
-410	0	0
-405	0	0
-400	0	0
-395	0	0
-390	0	0
-385	0	0
-380	0	0
-375	0	0
-370	0	0
-365	0	0
-360	0	0
-355	0	0
-350	0	0
-345	0	0
-340	0	0
-335	0	0
-330	0	0
-325	0	0
-320	0	0
-315	0	0
-310	0	0
-305	0	0
-300	0	0
-295	0	0
-290	0	0
-285	0	0
-280	0	0
-275	0	0
-270	0	0
-265	0	0
-260	0	0
-255	0	0
-250	0	0
-245	0	0
-240	0	0
-235	0	0
-230	0	0
-225	0	0
-220	0	0
-215	2	0.00434783
-210	0	0
-205	0	0
-200	1	0.00217391
-195	0	0
-190	0	0
-185	0	0
-180	1	0.00217391
-175	0	0
-170	0	0
-165	0	0
-160	1	0.00217391
-155	0	0
-150	0	0
-145	0	0
-140	1	0.00217391
-135	1	0.00217391
-130	0	0
-125	1	0.00217391
-120	3	0.00652174
-115	0	0
-110	0	0
-105	2	0.00434783
-100	1	0.00217391
-95	2	0.00434783
-90	6	0.0130435
-85	3	0.00652174
-80	1	0.00217391
-75	0	0
-70	0	0
-65	0	0
-60	1	0.00217391
-55	4	0.00869565
-50	0	0
-45	2	0.00434783
-40	0	0
-35	3	0.00652174
-30	1	0.00217391
-25	1	0.00217391
-20	4	0.00869565
-15	2	0.00434783
-10	0	0
-5	2	0.00434783
0	1	0.00217391
5	2	0.00434783
10	3	0.00652174
15	0	0
20	1	0.00217391
25	1	0.00217391
30	2	0.00434783
35	2	0.00434783
40	0	0
45	1	0.00217391
50	4	0.00869565
55	2	0.00434783
60	7	0.0152174
65	2	0.00434783
70	0	0
75	1	0.00217391
80	3	0.00652174
85	2	0.00434783
90	1	0.00217391
95	2	0.00434783
100	1	0.00217391
105	2	0.00434783
110	0	0
115	0	0
120	0	0
125	1	0.00217391
130	0	0
135	1	0.00217391
140	1	0.00217391
145	0	0
150	0	0
155	0	0
160	0	0
165	0	0
170	0	0
175	0	0
180	1	0.00217391
185	0	0
190	0	0
195	0	0
200	2	0.00434783
205	0	0
210	0	0
215	0	0
220	0	0
225	0	0
230	0	0
235	0	0
240	0	0
245	0	0
250	0	0
255	0	0
260	0	0
265	0	0
270	0	0
275	0	0
280	0	0
285	0	0
290	0	0
295	0	0
300	0	0
305	0	0
310	0	0
315	0	0
320	0	0
325	0	0
330	0	0
335	0	0
340	0	0
345	0	0
350	0	0
355	0	0
360	0	0
365	0	0
370	0	0
375	0	0
380	0	0
385	0	0
390	0	0
395	0	0
400	0	0
405	0	0
410	0	0
415	0	0
420	0	0
425	0	0
430	0	0
435	0	0
440	0	0
445	0	0
450	0	0
455	0	0
460	0	0
465	0	0
470	0	0
475	0	0
480	0	0
485	0	0
490	0	0
495	0	0
