I,U,Uerr
245,-102,6
248,-109,6
251,-116,6
254,-127,6
257,-141,6
260,-162,7
263,-194,7
266,-246,8
268,-295,6
270,-363,7
272,-455,9
273,-512,9
274,-575,10
275,-644,13
276,-710,15
277,-774,15
278,-874,14
279,-852,12
280,-850,11
281,-813,10
282,-741,10
283,-630,8
284,-488,9
285,-307,9
286,-112,11
287,118,14
288,345,14
289,555,16
290,715,17
291,811,17
292,843,16
293,819,14
294,755,13
296,578,12
298,408,10
302,185,7
306,72,7
310,13,6
314,-19,6
318,-38,8
322,-50,7
329,-62,6
