I,U,Uerr
250,-86,7
253,-90,7
257,-92,6
262,-97,8
266,-106,8
270,-114,6
274,-132,6
278,-157,6
282,-202,6
285,-259,7
288,-350,8
290,-440,10
292,-549,14
293,-610,14
294,-672,13
295,-722,14
296,-749,16
297,-764,14
298,-744,12
299,-690,9
300,-609,11
301,-492,9
302,-340,9
303,-162,10
304,40,12
305,233,14
306,427,14
307,581,16
308,689,18
309,736,17
310,726,15
311,678,16
312,604,14
313,528,13
315,370,10
317,250,9
319,163,8
321,104,9
324,42,7
327,4,6
331,-26,6
335,-41,6
340,-55,6
345,-62,7
