X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,2.460000e-01,2.000000e-03
0,1.60e+01,-1.82e+00,
1,1.76e+01,-1.78e+00,
2,1.68e+01,-1.80e+00,
3,1.52e+01,-1.72e+00,
4,1.60e+01,-1.76e+00,
5,1.76e+01,-1.70e+00,
6,1.68e+01,-1.70e+00,
7,1.68e+01,-1.76e+00,
8,1.68e+01,-1.72e+00,
9,1.68e+01,-1.76e+00,
10,1.68e+01,-1.76e+00,
11,1.76e+01,-1.70e+00,
12,1.68e+01,-1.74e+00,
13,1.76e+01,-1.64e+00,
14,1.68e+01,-1.64e+00,
15,1.84e+01,-1.70e+00,
16,1.68e+01,-1.64e+00,
17,1.84e+01,-1.68e+00,
18,1.68e+01,-1.64e+00,
19,1.84e+01,-1.70e+00,
20,1.76e+01,-1.70e+00,
21,1.84e+01,-1.62e+00,
22,1.76e+01,-1.66e+00,
23,1.84e+01,-1.58e+00,
24,1.76e+01,-1.62e+00,
25,1.84e+01,-1.54e+00,
26,1.84e+01,-1.54e+00,
27,1.76e+01,-1.62e+00,
28,1.76e+01,-1.62e+00,
29,1.84e+01,-1.56e+00,
30,1.76e+01,-1.62e+00,
31,1.84e+01,-1.52e+00,
32,1.76e+01,-1.56e+00,
33,1.84e+01,-1.48e+00,
34,1.76e+01,-1.46e+00,
35,1.92e+01,-1.50e+00,
36,1.92e+01,-1.46e+00,
37,1.76e+01,-1.50e+00,
38,1.76e+01,-1.50e+00,
39,1.92e+01,-1.46e+00,
40,1.76e+01,-1.50e+00,
41,1.92e+01,-1.42e+00,
42,1.84e+01,-1.46e+00,
43,1.92e+01,-1.36e+00,
44,1.84e+01,-1.40e+00,
45,1.92e+01,-1.34e+00,
46,1.84e+01,-1.34e+00,
47,1.92e+01,-1.40e+00,
48,1.84e+01,-1.38e+00,
49,1.92e+01,-1.34e+00,
50,1.84e+01,-1.38e+00,
51,1.92e+01,-1.30e+00,
52,1.84e+01,-1.32e+00,
53,2.00e+01,-1.22e+00,
54,2.00e+01,-1.28e+00,
55,1.84e+01,-1.20e+00,
56,1.92e+01,-1.24e+00,
57,1.84e+01,-1.20e+00,
58,1.84e+01,-1.20e+00,
59,2.00e+01,-1.24e+00,
60,2.00e+01,-1.22e+00,
61,1.92e+01,-1.16e+00,
62,1.92e+01,-1.16e+00,
63,2.00e+01,-1.08e+00,
64,1.92e+01,-1.12e+00,
65,2.00e+01,-1.04e+00,
66,1.92e+01,-1.06e+00,
67,2.00e+01,-1.02e+00,
68,1.92e+01,-1.02e+00,
69,2.08e+01,-1.06e+00,
70,2.08e+01,-1.04e+00,
71,1.92e+01,-9.60e-01,
72,1.92e+01,-9.80e-01,
73,2.08e+01,-9.00e-01,
74,2.00e+01,-9.20e-01,
75,2.08e+01,-8.40e-01,
76,2.08e+01,-8.60e-01,
