Voltage,X,Y
0.303,2.87,-5.19
0.549,5.16,-9.52
0.919,8.65,-16.34
1.207,11.4,-22.08
1.547,14.75,-29.32
1.799,17.23,-34.85
2.011,19.3,-39.67
2.403,23.12,-49.15
