ni,X,Y
1.153,60.0,30.0
5.227,75.0,-7.5
10.934,75.0,-25.0
20.44,67.5,-39.0
32.2,55.0,-44.0
40.97,48.0,-43.5
60.28,36.5,-40.5
75.76,30.25,-37.5
101.06,23.25,-33.35
122.1,19.25,-29.65
150.65,15.45,-26.2
184.2,12.5,-23.1
231.1,9.45,-19.88
267.1,7.89,-18.02
300.1,6.78,-16.57
350.6,5.46,-14.82
382.6,5.46,-14.82
382.6,4.8,-13.9
427.5,4.06,-12.78
500.9,3.13,-11.3
570.0,2.48,-10.21
630.1,2.06,-9.4
676.9,1.78,-8.85
751.9,1.42,-8.1
803.5,1.22,-7.62
864.3,1.02,-7.17
928.0,0.86,-6.73
1003.8,0.67,-6.27
