0,0.02
10.5,0.03
19.5,0.36
21.1,0.63
31.1,0.86
39.6,1.05
50.7,1.12
59.3,1.17
71.8,1.21
80.8,1.23
89.8,1.24
100.9,1.22
119.7,1.21
148,1.21
176.5,1.19
202.6,1.18
251.7,1.18
300.8,1.17
